class,description,numbers
API,сообщение сайт карта размещаться сайт адаптивный просмотр телефон появляться горизонтальный скрол исправить код карта отображать сво сайт просмотр телефон карта адаптироваться размер экран телефон исправить например сделать карта яндекс адаптивный вложить файл,32
Export buildman,билдман происходить билдман постоянно выходить окно авторизация тперь вообще упасть произойти необработанный приложение сообщение адресат вызов создать исключение адресат вызов создать исключение произойти выдать исключение трассировка стек предыдущий расположение возникнуть исключение трассировка стек предыдущий расположение возникнуть исключение трассировка стек предыдущий расположение возникнуть исключение трассировка стек предыдущий расположение возникнуть исключение трассировка стек предыдущий расположение возникнуть исключение трассировка стек исключение трассировка стек исключение трассировка стек исключение трассировка стек предыдущий расположение возникнуть исключение творог,71
Поддержка по отзывам,отзыв клиент прислать письмо прийти сообщение отношение компания сервис оставить отзыв пользователь возможность оставлять отзыв соответственно читать отзыв клиентоориентировать проводить независимый судебный экспертиза экспертиза решение бывать нибыть сторона дело сторона дело писать негативный отзыв сообщить сделать отзыв удалённый возможность оставлять отзыв общество ограниченный ответственность судебный экспертиза оценка тело,48
CRM отдел,сменить общество ограниченный ответственность призма заранее,6
Export buildman,блокировать сборка коллега вылезти поправить привязка вход адрес проблема вход удалить сделать автокраска ссылаться несуществующий скрытый запись табл адрес блокировать ссылаться несуществующий скрытый запись табл адрес блокировать автозапчасть ссылаться несуществующий скрытый запись табл адрес блокировать ссылаться несуществующий скрытый запись табл адрес блокировать ссылаться несуществующий скрытый запись табл адрес блокировать ссылаться несуществующий скрытый запись табл адрес блокировать ссылаться несуществующий скрытый запись табл адрес блокировать ссылаться несуществующий скрытый запись табл адрес блокировать ссылаться несуществующий скрытый запись табл адрес блокировать ссылаться несуществующий скрытый запись табл адрес блокировать специалист,85
Export buildman,запускаться билдман перестать работать билдман произойти необработанный приложение,8
Поддержка товаров,витрина уходить заявка заказ витрина клиент сушить маркет клиент видеть ресурс негативный отзыв клиент перевести кнопка заказ сообщение вайбер гремиловый менеджер калининрад,22
API,апи заблокировать причина превысить максимальный установленный значение фактический значение компания колмовый ру режим редактировать апи,16
Поддержка товаров,запрос рд категория цена комплект компания продажа мебельный оконный фурнитура реклама лпр загружать товар вручную подходить категория подсказка выгрузка далёкий товар письмо клиент дать ответ добавление товар открыть категория выложить кухонный посуда рейлинга направлять ящик лоток столовый основный товар выложить получаться подходящий категория скорее категория товар пространство предложить клиент сотрудничать компания ссылка ке крупный интернет компания версия ссылка занимать место попярность раздел навигация среди пользователь ссылка млн скачивайния млн постоянный аудитория пользователь ссылка итог занять место суммарно количество аудитория среди самый попярный приложение ссылка,84
API,апи доить чат профиль компания црм написать интеграция чат платформа получать сообщение чат чат деск отвечать оттуда генеральный осоо црм,21
Телекомунникация и связь,запрос посодействовать запись диалог клиент следующий специалист добавочный ловый продажа,10
Fiji,загружаться тайла пр запуск поиск работать медленно объект осуществиться искомый объект выделиться редактирование тайле повторный перезагрузка программа вообще скрин прилагать,20
Atlassian,картограф картограф необходимый доступ,4
Личный Кабинет,личный кабинет открытие личный кабинет вкладка статистика событие сверху написать визит компания измениться временно,14
API,перестать работать днепропетровск выдавать пользователь игоревич учётный запись ад роль мпп руководитель ргп григориевич территория продажа днепропетровск,17
CRM отдел,рассмотреть вопрос перевод фирма мпп алянич империя империя размещение планироваться,10
Телекомунникация и связь,подключение дистанцонный набор номер хотеться подключить функция набор номер номер карточка клиент номер автоматически набираться,15
Поддержка по отзывам,скрытие отзыв компания главдезцентр дезинсекционный компания город поступить ответ отзыв отзыв заказать обработка заказ принять дезинфектор приехать вовремя час минус опаздывать заказ делать компания главдезцентр обрабатывать известно заказывать компания основываться отзыв гарантия обещать обработка шить обработка огромный минус менеджер телефон говорить гарантия обман сокрытие информация клиент говорить предлагать обработка запах обработать аккуратно претензия течение обработать поверхность мыть умирать течение срок ползать кусать посмотреть резьтат нд обработка пройти поймать видеть девятеро соточка ползать жить питаться размножаться отписаться дело за ос скрыть отзыв,81
Личный Кабинет,рекламодатель забыть лк руководитель забыть лк попытка восстановить выскочить окно информация фирма удалить справочнка восстановить дать говорить,17
Atlassian,доступ проект джир приветствовать необходимый доступ тикета проект,8
Atlassian,изменение настройка проект джир тикетовый воркфлоу умолчание проект оказаться добавить следующий тикетовый фича учшение расширить воркфлоу статус ще хотеться настроить интеграция проект насколько понять требовать настройка джир описать джир проект прописать пользователь подключение джир проходить ранее обращаться помощь настройка интеграция проект,41
API,апи справочник посмотреть апи справочник апи конкретно название рубрика сделать рейтинг логот разместить сайт,14
Группа корректуры РМ,согласовать название компания согласовать название компания продажа товар домашний пивоварение виноделие ка компания стоять расширение например компания продажа товар домашний пивоварение виноделие,22
Поддержка по отзывам,удалить отзыв заявка скс компания оптим производственный торговый компания удалить отзыв летний давность специфика заниматься мешать отзыв эффективность,18
Группа корректуры РМ,заявка модерация графический реклама клиент использовать данный логот клиент важно логот карта согласовать,13
Группа Digital,сервис сервисный ремонт бытовой техника посчитать продление клиент сохранение настройка бюджет меняться,12
CRM отдел,запрос фирма коллега перевести фирма техника официальный дилер техника компания техника торговый компания техника компания техника техника торговый компания представительство мпп бгаков добавить,23
Fiji,обновляться тайла обновляться тайла видно изменение пользователь тело проспект,9
CRM отдел,коллега коммерция возникнуть вопрос возможно удалить фирма скрытый инфораша дать фирма закрыться работать данный отвлекать мпп планирование,17
IR,подвисать инфораша стрежневой подвисать инфораша подвисать завершение сохранение карточка клиент,10
Fiji,выгрузить здание позволять осуществлять поиск объект атрибут компонент кр проект случайно наслать здание компонент ность создать разбираться исправить последний итерация декабрьский сборка поэтому необходимо самый близкий срок выгрузить здание компонент файл добавить сискод здание назначение проект ность компонент нсь дать выгрузка проект кр шымкент чым проект выборка предоставить,48
Группа корректуры РМ,проверка пк срочно срочно принять решаться вопрос отгрузка течение час скорее проверить данный рекламный материал модератор согласно реклама,18
Поддержка по отзывам,профиль производственный коммерческий фирма слетать написать негативный отзыв компания виа отзыв адрес рутгёрса отзыв конкретный никакой подробность содержать сентябрь задать уточнять вопрос ответ последовать течение скрыть данный отзыв,28
Поддержка по отзывам,отзыв публиковать отзыв компания рд вопрос основание публиковать отзыв мнение любой конкурент безпрепрятественный оставить отзыв компания парочка подтверждать сразу публиковать согласно зачитать вытяжка отвественность клевета подтверждение информация компания нести ресурс информация публиковать мнение любой конкурент взять чек квитанция написать отзыв тратить остальной переходить ссылаться публикация информация,46
Группа корректуры РМ,заявка модерация текстовый реклама исправить кпп,6
IR,перенести дать клиент инфораша куратор перенести дать клиент куратор продажа тело фактический адрес адрес,14
Группа Digital,снять заказ выпуск коллега давать минута истечение срок расторгнуть заказ мешать сборка ашиток ростелеком бизнес публичный акционерный общество ростелеком оформление заказ недостаточно средство необходимо иметься ашиток ростелеком публичный акционерный общество ростелеком оформление заказ недостаточно средство необходимо иметься ра ингосстрах спао страховой компания общество ограниченный ответственность диджитал медиа сервис оформление заказ недостаточно средство необходимо иметься,54
IR,выгрузка изменение рд необходимо выгрузка сделать поскольку вышеуказанный период тикета создание отчёт инфораша,13
Поддержка по отзывам,модерация зыв клиент юнимед даловаться отзыв сей скрыть промодерировать отправить повторный проверить вложение криншота,14
IR,вкладка зацепка инфораша отображение открытие карточка вылетать окно зацепка ввести ввод данные повторять самый далее писать сожаление приложение недоступный попробовать обратиться служба поддержка повторяться периодичность сотрудник например сохранять карточка инфораша связь карточка создаваться карточка создание зацепка зацепка,37
Atlassian,работать зеркалирование работать зеркалирование репозиторий коммит,6
Телекомунникация и связь,дозвон пользователь работать функция дозвон скрин вложение проверить атрибут номер тело вс указать правильно телефон помочь решить проблема дозвон,19
Поддержка по отзывам,удалённый отзыв компания сауна удалённый последний оставить положительный отзыв узнать причина,11
Личный Кабинет,помочь доступ лк клиент чистить область перестать работать личный кабинет клиент сделать помочь,13
Поддержка товаров,мф интердизайн ранее коллега добавить товар фид удалить данный товар загрузить файл мастерская мебельный интердизайн офис тело моб интернет вконтакте,20
Поддержка по отзывам,удалить положительный отзыв компания компания продажа автобусный авиабилет удалить положительный отзыв реальный клиент пользователь формировка отзыв оценить пользователь подозрительный проверка выяснить отзыв написать промотирование конкретный компания необходимо узнать конкретно нарушить отзыв понять написать промотирование восстановить компания являться рекламодатель ситуация вызывать лпр резкий негатив рейтинг компания отзыв реальный клиент каковой являться данный пользователь дать ситуация повлечь отказ данный рекламодатель сотрудничать дальнейший поэтому решить вопрос скорее,64
Atlassian,предоставить доступ предоставить доступ конфлюенс просмотр планировать пересборка,8
Atlassian,расширить набор доступный задача показываться всплывашка ограниченный набор хотеться расширить минимум ещ,12
Группа корректуры РМ,заявка модерация текстовый реклама одобрить баннер,6
Fiji,добавить проект статистика добавить статистика проект тестировать пятн прага тагил сахалинск пожелание ведущий инженер технолог,15
Поддержка по отзывам,удалить отзыв здание огромный перенести отзыв аэс вчера вечером написать здание единственный отзыв остальной убрать вчера огромный оперативность написать видимо конкурент отзыв писать реактор,24
API,территория задача нарисовать полигон территория удалённый территория возможность сделать получить координата территория вход карта территория обозначить пунктир насколько понимать снимка экран,21
Fiji,расширить поиск список дублироваться назначение здание некоторый хозяйственный аж вариант некорректный хозкорпус,12
CRM отдел,снять заказ коллега снять заказ текущий дф согласовать куратор,9
CRM отдел,аптека гп перевести фирма аптека гп куратор мпп размещение централизовать город реквизит крск,13
Fiji,поиск проект переименовать переименование провести прошлый поиск проводить название последний поиск проводиться название искать справочный информация название,17
IR,отображение карточка компания интересовать вариант медийный выдача рубрика доставка готовый блюдо компания рубрика компания предполагать медийный выдача возможный выдача рекамодатель,20
API,заявка партнёр компания тоо страна город ресурс использоваться стран сайт проект спортивный справочник количество уникальный пользователь представитель епишко должность руководитель проект телефон обработать заявка перейти ссылка апи,28
API,разместить сайт гостиничный разместить справочник разместить сайт гостиничный поддержка обращение добавить комментарий текст комментарий указать адрес сайт разместить виджет,19
Группа корректуры РМ,изменение рм изменение рм пройти модерация данный код город город назначение менеджер фирма кафе лицо заказчик индивидуальный предприниматель туп резьтат проверка рекламный материал микрокоммент ожидать модерация блокировать код город город назначение менеджер фирма кафе лицо заказчик индивидуальный предприниматель туп резьтат проверка рекламный материал комментарий доставка ожидать модерация блокировать,48
Поддержка товаров,товар коллега клиент позвонить сообщить товар лк продукт транслироваться лк бронник менеджер клиент зорг обязательно истратить захотеть сэкономить реклама подобно покупка билет потратить доехать монтимера,25
IR,неактивный кнопка зц закрытие фирма неактивный кнопка сохранить сверить карточка ранее скрытый посмотреть клиент,14
Export buildman,финальный сборка галочка списание падать удаться получить отчёт стабилизация данные,10
Fiji,проблема открытие зацепка открытие зацепка появляться табличка вверху зацепка сразу ситуация сразу невозможно здание присвоить название,16
Поддержка по отзывам,вх удалить отзыв вх говорить атака заказ рассмотреть вариант удаление отзыв,11
Группа Digital,одобрить ру сервис подбор кредит проект запустить текущий рд компас кредит,11
Поддержка по отзывам,неправдивый отзыв произойти ситуация поступить отзыв умереть буквально следующий илбирс комментарий якобы девушка ситуация умереть скрин вс указать решить данный проблема удалить отзыв,23
IR,сотрудник срк звать девушка разиль асхатович учеткать удалять прижиться руководитель отдел производство специалист сообщение свободно вирус вредоносный благодаря вирус,19
IR,появляться обновляться адрес инфораша появляться адрес инфораша обновляться изменить пересохранение помогать количество занесение инфораша продолжать адрес ситуация измениться дойти ноябрь справочник выйдкт карточка допустимый появляться рекламный адрес клиент марксистский дать появиться рамблер карта представлять конструктор виджет карта фирма город показать достопримечательность,41
Fiji,грузиться тайла грузиться тайла,4
Fiji,проблема запуск запуск программа происходить пускать программа пробовать переустановить сбросить настройка помочь,12
Fiji,зависать намертво зависать закрывать диспетчер происходить выделять редактирование переключаться,9
CRM отдел,отчёт акция марафон пересчитывать роялти взять актуальный отчёт деление администратор уч продажа оф,13
CRM отдел,запрос фирма касса кпкг коллега перевести фирма касса кпкг ра клиент размещаться рекламный агентство письмо ра вложение медиа,18
Личный Кабинет,доступ лк клиент город компания биллион производственный торговый компания проблема доступ лк флампа лк работать данные лк уволиться забрать удалить привязать личный кабинет,23
Личный Кабинет,профессиональный стоматология имплантация отправка сообщение помочь решение вопрос функция отправка сообщение клиент лк клиент пользоваться отправка сообщение приходить привязать лк вообще секретарь оперативно отвечать вопрос клиент отправка сообщение приходить эл нижегородский вк одноклассник инфораша новгород керченский бц инфораша,38
Atlassian,медленно работать пользователь жаловаться медленно работать,6
Телекомунникация и связь,проблема билайн возникнуть вчера проблема описать следующий статья сторона билайн дать проблема исключить пытаться договориться добавить адрес диапазон руководитель отдел администрирование инфраструктура управлять компания июнь группа администрирование инфраструктура веб сервис группа рассылка проблема билайн билайн накосячить обойти проблема прийтись изменить анонс поэтому данный наблюдаться перераспределение нагрузка центр плюс билайн проблема доступность адрес заявка передать разбираться решить вернуть обратно руководитель отдел администрирование инфраструктура управлять компания,64
Поддержка по отзывам,евробалкон отзыв удалить отзыв пользователь писать неправда отвечать завпроса номер договор обращение компания,13
Группа Digital,дверь спб входной дверь,4
API,маршрут коллега помочь ответить вопрос картографический направление отдел контроль маршрут поступить обратиться пользователь являться редактор писать статья опубликовать интернет портал размещение код отдельный маршрут апи партнёр пользователь видеть маршрут сделать альтернатива впервые запрос сталкиваться руководитель отдел клиент,37
Группа Digital,увеличение ящик увеличить ящик менеджер реализация проект,7
Поддержка товаров,витрина коллега рекламодатель днепр загрузить лк витрина загружать ссылка ставить ограничение страна доступ пользователь показываться капча возможно находиться страна пропускать каптать смочь пройти попадать сайт ограничение остальной показываться капча обращаться фид добавить список,33
Export buildman,идти импорт идти импорт час тайла пересборка возможно ускорить получить резьтат,11
API,запрос использование карта приложение приложение отслеживать местоположение ребёнок час трекер использовать карта гугл мепс использовать карта пообщаться официальный сайт шуват,20
IR,ссылка флампа некоторый карточка исчезнуть информация флампа готовый продукт ссылка флампа остаться произойти последний релиз карточка высылать ведущий пл сити,20
Личный Кабинет,рекламный материал личный кабинет клиент изменить лк микрокомментарий сообщить изменение отобразиться онлайн версия бизнес консьтант,15
IR,адрес инфораша адрес инфораша готовый продукт адрес должный привязать адрес неблокировать клиент марксистский мобильный проехать появиться планшет продолжать развитие,19
IR,новгород перевыгрузка карточка акварель отель отель фирма брать кнопка забронировать менеджер компания ги новгород мотальный офис дц бизнес,18
Личный Кабинет,лк разделить фирма разделить личный кабинет фирма версио переводческий агентство студия иностранный язык перевод поскольку разделиться являться конкурент менеджер франчайзи,20
Fiji,запускаться сделать ограничение запуск программа средство групповой соответственно добавлять исключение системный необходимый запрещать вс остальной данный запускаться инфораша ещ пробовать думать ситуация точно проверить,24
CRM отдел,перевод фирма перевести фирма фирма упасть фирма находиться кураторство самопродажа,10
Поддержка товаров,запрос данный запрос включаться выдача показываться товар компания понимать должный поступить повторный клиент данный механизм справочник исправить данный ранее писать тикета измениться,22
Личный Кабинет,добавить компания добавить личный кабинет рд джинс фирменный джинсовый одежда,10
Личный Кабинет,личный кабинет рд декабрь сей попасть личный кабинет делать неск запрос письмо приходить отделка многопрофильный компания тутушино менеджер отдел продажа,20
API,апичекб проверка онлайн версия коллега работать апичек попытка перезагрузить стран далее выдавать следующий,13
Группа Digital,просчёт диджитал компания заказ продажа билет рубрика заказ просчитать показ,10
Личный Кабинет,доступ лк предоставить доступ лк сотрудник мпп мпп франчайзи,9
Поддержка товаров,товар добавлять товар получаться добавляться писать отвечать помочь сложиться ситуация,10
Группа Digital,завести диджитал подписать продажа,4
Группа Digital,автоваз представительство клиент прислать готовый выйти,6
Export buildman,недостаточно место подряд сборка сталкиваться проблема недостаток место хранилище стать проявляться город увеличиться ти место должный выделить давать помеха собрать проверить предварительный итоговый сборка город передать информация админ место приходиться обращаться администратор сильно замедлять процесс рассмотреть добавление кнопка производство,39
Fiji,закрытие зацепка закрыть зацепка дубликат поставить курсор вписать оригинальный зацепка перескакивать дубликат руководитель картографический отдел больший бц навигатор,18
Поддержка товаров,товар коллега подгрузить личный кабинет товар компания универсал компания производство отопительный котёл город скоро опубликованный дать товар,17
Поддержка товаров,витрина коллега витрина подгружать единый файл грузить товар отдельность надеяться взаимовыгодный сотрудничество коммерческий киренцов тело,15
Телекомунникация и связь,мобильный номер мобильный номер инфораша многие номер срабатывать автоответчик абонент временно недоступный проверка данные номер личный номер вызов идти проверять чз мтс номер,23
Atlassian,пользователь получить доступ получить доступ попытка авторизация отвечать пользователь корректно авторизация проходить корректно,13
Fiji,сохранять объект создание ставить редактирование прорисовка объект площадник стена проч тп появляться возвращение предыдущий объект работать трц кировоградский,18
Личный Кабинет,доступ лк предоставить доступ личный кабинет отправить ссылка,8
CRM отдел,куратор оплата коллега рассмотреть запрос куратор оплата общество ограниченный ответственность отель оплата дз собрать сменить куратор заранее,17
Личный Кабинет,личный кабинет коллега возможно открытие лк мпп ргп размещение рд рд мпп открываться лк открытие лк ргп подчиняться данный мпп телён франчайзи,22
Поддержка по отзывам,некорректный отзыв провокационный поступить отзыв компания форма мостецкий пользователь гьшат газизлин дело компания являться партнёр дать компания предоставлять услуга продажа руководство компания за обратный связь клиент предмет клиент предоставить чек покупка состав покупка купить клиент предоставить данный информация желать компания предоставлять услуга писать рассмотреть удалить некорректный провокационный отзыв зубан,49
Fiji,грузить объект выделение редактирование объект грузить открывать табл атрибут перезапуск помогать,11
Личный Кабинет,логот компания прикрепить логот компания вложение клиент загрузка личный кабинет файл крепиться дать обновляться фирма страховой советник продажа,18
IR,проблема следующий открывать список телефон кликать щелчок открываться карточка вместе телефон ставиться прийтись публиковать контакт исправить марксистский,17
Личный Кабинет,личный кабинет предоставить доступ личный кабинет компания информаудитсервис банковско консалтинговый группа компания удалиться отзыв мелконянин,15
Atlassian,вебхук джир интеграция слэк помощь интеграция джир командный слэк добавить статус тикетовый проект вебхук слэк заранее,16
Личный Кабинет,помочь клиент убрать лк здание добавить специалист реклама пр документ присылать адрес,12
IR,инфораша коллега возникнуть проблема открытие сохраняться оператор ставить открытие следующий причина оператор,12
IR,проблема вкладка зацепка хорёвый проблема вкладка зацепка возникнуть проблема инфораша открывать вкладка зацепка видеть зацепка назначить,16
Группа Digital,халяль кафе коллега посчитать срс заполнить вложение гугл спецразмещение,9
Личный Кабинет,личный кабинет ввести дать добавить получить письмо пройти ссылка владелец карточка компания версия пк ввести выбрать список получить доступ потребоваться выбрать список телефон подтвердить являться представитель компания получить письмо указанный ссылка вход личный кабинет видеть ссылка владелец пояснить развернуть карточка компания создать личный кабинет кликать получить доступ личный кабинет вводить город название компания сайт телефон находить,56
Поддержка по отзывам,корректный отзыв отзыв написать конкурент корректно,6
Телекомунникация и связь,милек волс тт фиксировать ситуация авб работать место связь ёмкость ориентировочный срок восстановление мск сменный инженер центр мониторинг качество милек тело круглосуточный диспетчерская служба тело мониторинг,26
IR,коллега работать проверка номер прилетать действовать номер прилететь номер телефон сделать действовать заранее щекуриный клиент,15
API,заявка добавление страна рф город ресурс использоваться количество уникальный пользователь представитель должность телефон обработать заявка перейти ссылка апи,19
